timestamp_us,event,value_us
2340037536,udp_write_slice_us,37
2340037547,udp_inter_packet_us,136
2340037631,udp_decode_us,84
2340037667,udp_write_slice_us,34
2340037671,udp_inter_packet_us,124
2340037776,udp_decode_us,105
2340037777,udp_write_slice_us,1
2340037812,udp_inter_packet_us,141
2340037906,udp_decode_us,94
2340037906,udp_write_slice_us,0
2340037911,udp_inter_packet_us,99
2340038006,udp_decode_us,95
2340038007,udp_write_slice_us,1
2340038933,udp_inter_packet_us,1021
2340039017,udp_decode_us,84
2340039017,udp_write_slice_us,0
2340039023,udp_inter_packet_us,91
2340039115,udp_decode_us,92
2340039116,udp_write_slice_us,0
2340039121,udp_inter_packet_us,98
2340039205,udp_decode_us,84
2340039205,udp_write_slice_us,0
2340039209,udp_inter_packet_us,88
2340039299,udp_decode_us,90
2340039300,udp_write_slice_us,0
2340039304,udp_inter_packet_us,95
2340039392,udp_decode_us,87
2340039392,udp_write_slice_us,0
2340039431,udp_inter_packet_us,126
2340039521,udp_decode_us,91
2340039522,udp_write_slice_us,1
2340039620,udp_inter_packet_us,190
2340039723,udp_decode_us,103
2340039724,udp_write_slice_us,0
2340039804,udp_inter_packet_us,184
2340039898,udp_decode_us,94
2340039899,udp_write_slice_us,0
2340039903,udp_inter_packet_us,99
2340039987,udp_decode_us,84
2340039988,udp_write_slice_us,0
2340040439,udp_inter_packet_us,535
2340040529,udp_decode_us,91
2340040530,udp_write_slice_us,1
2340040623,udp_inter_packet_us,184
2340040710,udp_decode_us,88
2340040711,udp_write_slice_us,0
2340040715,udp_inter_packet_us,93
2340040815,udp_decode_us,100
2340040816,udp_write_slice_us,1
2340041170,udp_inter_packet_us,455
2340041258,udp_decode_us,87
2340041258,udp_write_slice_us,0
2340041262,udp_inter_packet_us,92
2340041349,udp_decode_us,87
2340041350,udp_write_slice_us,0
2340041354,udp_inter_packet_us,92
2340041441,udp_decode_us,87
2340041441,udp_write_slice_us,0
2340042237,udp_inter_packet_us,883
2340042330,udp_decode_us,93
2340042331,udp_write_slice_us,1
2340042420,udp_inter_packet_us,183
2340042515,udp_decode_us,94
2340042515,udp_write_slice_us,0
2340042520,udp_inter_packet_us,100
2340042614,udp_decode_us,93
2340042614,udp_write_slice_us,0
2340042619,udp_inter_packet_us,99
2340042702,udp_decode_us,83
2340042703,udp_write_slice_us,0
2340043006,udp_inter_packet_us,386
2340043100,udp_decode_us,94
2340043100,udp_write_slice_us,0
2340043105,udp_inter_packet_us,100
2340043199,udp_decode_us,94
2340043200,udp_write_slice_us,0
2340043204,udp_inter_packet_us,99
2340043309,udp_decode_us,105
2340043310,udp_write_slice_us,0
2340043314,udp_inter_packet_us,110
2340043407,udp_decode_us,93
2340043407,udp_write_slice_us,0
2340043891,udp_inter_packet_us,577
2340043994,udp_decode_us,103
2340043995,udp_write_slice_us,0
2340044075,udp_inter_packet_us,183
2340044169,udp_decode_us,95
2340044170,udp_write_slice_us,1
2340044174,udp_inter_packet_us,100
2340044269,udp_decode_us,94
2340044269,udp_write_slice_us,0
2340044273,udp_inter_packet_us,99
2340044357,udp_decode_us,84
2340044358,udp_write_slice_us,0
2340044717,udp_inter_packet_us,443
2340044809,udp_decode_us,93
2340044810,udp_write_slice_us,1
2340044815,udp_inter_packet_us,98
2340044902,udp_decode_us,88
2340044903,udp_write_slice_us,1
2340044907,udp_inter_packet_us,93
2340044991,udp_decode_us,83
2340044991,udp_write_slice_us,0
2340045222,udp_inter_packet_us,315
2340045311,udp_decode_us,89
2340045311,udp_write_slice_us,0
2340045400,udp_inter_packet_us,177
2340045487,udp_decode_us,87
2340045487,udp_write_slice_us,0
2340045492,udp_inter_packet_us,93
2340045592,udp_decode_us,100
2340045592,udp_write_slice_us,0
2340046009,udp_inter_packet_us,516
2340046104,udp_decode_us,96
2340046105,udp_write_slice_us,0
2340046119,udp_frame_commit_us,14
2340046147,led_acquire_read_us,18157
